Intake24 code,Action,English Description,Local description,Local description/Malay,Local description/Mandarin,Local description/Tamil,Food composition table,Food composition record ID,Ready Meal Option,Same As Before Option,Reasonable Amount,Use In Recipes,Associated Food / Category,Brand Names,Associated Food / Category (Malay),Associated Food / Category (Tamil),Portion size estimation methods,Categories,,,,,,,
ICET,3,Iced tea,Iced tea,Teh ais,冰茶,ஐஸ் டீ,AUSNUT,01B20388,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: drink-scale, conversion: 1.0, drinkware-id: takeaway_cups_cold, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUSHydBottle
Method: drink-scale, conversion: 1.0, drinkware-id: MY_ColdMug, initial-fill-level: 0.9, skip-fill-level: false",DRNK,TEAS,,,,,,
ICRM,1,"Sweet sauce, chocolate-based","Sweet sauce, chocolate-based",,,,AUSNUT,12B10077,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.44, guide-image-id: AUSspoons",CHOI,ICEL,,,,,,
ICRS,1,"Ice cream sandwich, chocolate coated e.g. Maxibon","Ice cream sandwich, chocolate coated e.g. Maxibon",,,,AUSNUT,09D10273,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: ice_cream_sandwiches, unit0-weight: 102, unit0-omit-food-description: true",ICEC,ICEL,IWFR,,,,,
ICSU,1,Icing sugar,Icing sugar,,,,AUSNUT,12A10080,Inherited,Inherited,Inherited,RecipesOnly,,,,,"Method: guide-image, conversion: 0.56, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: teaspoons, unit0-weight: 2.8, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 11.2, unit1-omit-food-description: false, unit2-name: cups, unit2-weight: 140, unit2-omit-food-description: false",SUGA,SUGR,,,,,,
IDNT,3,Iced doughnuts,Iced doughnuts,Donat beku,糖霜甜甜圈,ஐஸ் டோனட்டுகள்,AUSNUT,02E30116,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gdou",CAKE,DGNT,,,,,,
ILSL,1,Iced lemon slices,Iced lemon slices,,,,AUSNUT,02E50300,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake
Method: guide-image, conversion: 1.0, guide-image-id: Gchocbites",CAKE,SLBC,,,,,,
IMRS,2,"Chocolate covered ice cream bar/stick, caramel filling e.g. Mars / Snickers ice cream, Magnum Gold","Chocolate covered ice cream bar/stick, caramel filling e.g. Mars / Snickers ice cream, Magnum Gold","Bar / stik aiskrim dilapisi coklat, berinti karamel e.g. Mars / Snickers aiskrim, Magnum Gold",巧克力裹冰淇淋棒，焦糖夹心，（例如Mars/Snickers冰淇淋，Magnum Gold）,"சாக்லேட் பரப்பிய ஐஸ்கிரீம் குச்சி, காரமல் நிரப்பலுடன் எ.கா. Mars / Snickers ice cream, Magnum Gold",AUSNUT,09D10268,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSIceCreamChoc",ICEL,LOLS,,,,,,
IMSH,2,"Instant potato made up e.g. Deb, Birds Eye, McCain","Instant potato made up e.g. Deb, Birds Eye, McCain","Kentang segera e.g. Deb, Birds Eye, McCain","即食土豆泥 （例如Deb, Birds Eye, McCain）","உடனடி உருளைக்கிழங்கு எ.கா. Deb, Birds Eye, McCain",AUSNUT,13A11765,Inherited,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your instant potato made up e.g. Deb, Birds Eye, McCain?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Kentang segera e.g. Deb, Birds Eye, McCain ?})",COND({ta: உடனடி உருளைக்கிழங்கு உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?}),"Method: as-served, conversion: 1.0, serving-image-set: potatoes_mashed, leftovers-image-set: potatoes_mashed_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 19.6, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 245, unit1-omit-food-description: false",MASH,POTS,SLW1,SW05,,,,
INDV,2,"Cheesecake, any flavour","Cheesecake, any flavour","Cheesecake, aneka perisa",任何口味的奶酪蛋糕,"சீஸ்கேக், எந்த சுவையும்",AUSNUT,02E10503,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: NDNS_cheesecake, leftovers-image-set: NDNS_cheesecake_leftovers",CHSK,DESS,,,,,,
IPAP,2,"IPA, Pale ale","IPA, Pale ale","IPA, Pale ale","淡色艾尔啤酒, pale ale","ஐபிஏ, பேல் அலே",AUSNUT,01A10094,Inherited,TRUE,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSalccans
Method: guide-image, conversion: 1.0, guide-image-id: AUSbeerbot
Method: drink-scale, conversion: 1.0, drinkware-id: glasses_beer, initial-fill-level: 0.9, skip-fill-level: false",ALCL,BEER,DRNK,,,,,
IRNB,1,Irn bru,Irn bru,,,,AUSNUT,01B20405,Inherited,TRUE,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUScandrink
Method: guide-image, conversion: 1.0, guide-image-id: AUSFantaSolo",DRNK,SOFT,,,,,,
ISNK,1,Chocolate and biscuit covered ice cream stick e.g. Golden Gaytime,Chocolate and biscuit covered ice cream stick e.g. Golden Gaytime,,,,AUSNUT,09D10213,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSIceCreamChoc",ICEL,LOLS,,,,,,
ISOT,1,Lucozade Energy,Lucozade Energy,,,,AUSNUT,01B20511,Inherited,FALSE,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSHydBottle
Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",DRNK,ENDK,SOFT,,,,,
ISTP,2,Individual steak pie,Individual steak pie,Pai stik individu,单份牛排派,தனிப்பட்ட ஸ்டீக் பை,AUSNUT,02E60292,TRUE,Inherited,Inherited,Inherited,COND({en: Did you have sauces / condiments / gravy / stock with your individual steak pie?}),,COND({ms: Adakah anda mengambil sos / kuah bersama Pai stik individu?}),COND({ta: தனிப்பட்ட ஸ்டீக் பை உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?}),"Method: guide-image, conversion: 1.0, guide-image-id: gpie
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: individual_pies, unit0-weight: 200, unit0-omit-food-description: false",MEAT,MTPS,,,,,,
ITDR,2,Italian Dressing,Italian Dressing,Sos dressing Itali,意大利沙拉酱,இத்தாலிய டிரஸ்ஸிங்,AUSNUT,10F20104,TRUE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.11, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.55, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 22.2, unit1-omit-food-description: false",PCKL,SDRS,SLW2,SW06,,,,
JALA,1,Jalapeno chillies,Jalapeno chillies,Cili jalapeno,"墨西哥胡椒, jalapeno",ஜலபெனோ மிளகாய்,AUSNUT,13A12531,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 2, unit0-omit-food-description: false",GHRK,PCKL,SLDV,SLW1,SW05,SW06,VTGB,
JAME,3,"Jam, raspberry / strawberry / blackberry / blueberry","Jam, blueberry","Jem, blueberi",覆盆子/草莓/黑莓/蓝莓果酱,"ஜாம், புளுபெர்ரி",AUSNUT,12B10074,Inherited,Inherited,Inherited,Inherited,BRED({en: Did you have bread with your raspberry / strawberry / blackberry / blueberry jam?}),,"BRED({ms: Adakah anda mengambil roti / penkek bersama Jem, blueberi?})","BRED({ta: ஜாம், புளுபெர்ரி உடன் சேர்த்து ரொட்டி சாப்பிட்டீர்களா?})","Method: as-served, conversion: 1.0, serving-image-set: jam
Method: guide-image, conversion: 1.4, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 7, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 28, unit1-omit-food-description: false",JAMS,SUGR,SW02,,,,,
JAMF,3,"Jam, apricot / plum","Jam, apricot / plum","Jem, aprikot / plum",杏/李子果酱,"ஜாம், பாதாமி / பிளம்",AUSNUT,12B10086,Inherited,Inherited,Inherited,Inherited,BRED({en: Did you have bread with your apricot / plum jam?}),,"BRED({ms: Adakah anda mengambil roti / penkek bersama Jem, aprikot / plum?})","BRED({ta: ஜாம், பாதாமி / பிளம் உடன் சேர்த்து ரொட்டி / க்ரம்பெட்ஸ் / பான்கேக்குகள் / யார்க்ஷயர் புட்டுகள் சாப்பிட்டீர்களா?})","Method: as-served, conversion: 1.0, serving-image-set: jam
Method: guide-image, conversion: 1.43, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 7, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 28, unit1-omit-food-description: false",JAMS,SUGR,SW02,,,,,
JAMN,2,"Jam, reduced sugar","Jam, reduced sugar","Jem, rendah gula",低糖果酱,"ஜாம், குறைக்கப்பட்ட சர்க்கரை",AUSNUT,12B10121,Inherited,Inherited,Inherited,Inherited,BRED({en: Did you have bread with your reduced sugar jam?}),,"BRED({ms: Adakah anda mengambil roti / penkek bersama Jem, rendah gula?})","BRED({ta: ஜாம், குறைக்கப்பட்ட சர்க்கரை உடன் சேர்த்து ரொட்டி சாப்பிட்டீர்களா?})","Method: as-served, conversion: 1.0, serving-image-set: jam
Method: guide-image, conversion: 1.4, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 7, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 28, unit1-omit-food-description: false",JAMS,SUGR,SW02,,,,,
JBAB,2,"Jelly lollies e.g. Jelly Babies, Jelly beans, Snakes, Haribo, Jubes",Jelly candy (e.g Haribo),Jeli (e.g. Haribo),果冻糖果（例如 Haribo,ஜெல்லி மிட்டாய் (எ.கா. Haribo),AUSNUT,12C10423,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSlollyplate
Method: guide-image, conversion: 1.0, guide-image-id: AUSlolly",CONF,JLYS,,,,,,
JDNT,2,Doughnut filled with jam,Doughnuts filled with jam,Donat diisi dengan jem,果酱夹心甜甜圈,ஜாம் நிரப்பப்பட்ட டோனட்ஸ்,AUSNUT,02E30119,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gdou",CAKE,DGNT,,,,,,
JDSA,1,Jack Daniels sauce,Jack Daniels sauce,,,,AUSNUT,10A10535,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.15, serving-image-set: sauce_dollop, leftovers-image-set: sauce_dollop_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.65, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 22.6, unit1-omit-food-description: false",BBFS,COND,SLW2,SW06,,,,
JELS,1,"Jelly, reduced sugar","Jelly, reduced sugar",,,,AUSNUT,12D10067,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: jelly, leftovers-image-set: jelly_leftovers",DESS,JLLY,,,,,,
JELW,3,Jelly,Jelly,Jeli,果冻,ஜெல்லி,AUSNUT,12D10053,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: jelly, leftovers-image-set: jelly_leftovers",DESS,JLLY,,,,,,
JERK,1,Jerk seasoning,Jerk seasoning,Rempah Jerk,烧烤调 jerk 味料,ஜெர்க் மசாலா,NDNS,10E10098,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: teaspoons, unit0-weight: 2.65, unit0-omit-food-description: false",HRSP,SLW2,SPCE,SW06,,,,
JFFA,1,"Chocolate coated biscuits, with orange filling e.g. Mcvitie's Jaffa Cakes","Chocolate coated biscuits, with orange filling e.g. Mcvitie's Jaffa Cakes",,,,AUSNUT,02C20311,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: biscuits, unit0-weight: 9.2, unit0-omit-food-description: true",BSCT,CAKE,CHSB,SLBC,,,,
JLSL,1,Jelly slice,Jelly slice,,,,AUSNUT,02E50306,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake
Method: guide-image, conversion: 1.0, guide-image-id: Gchocbites",CAKE,SLBC,,,,,,
JPRC,2,Rice crackers e.g. Sakatas,Rice crackers e.g. Sakatas,Biskut nasi e.g. Sakatas,米饼干，例如Sakatas,அரிசி கிராக்கர்கள் எ.கா. Sakatas,AUSNUT,02C10153,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: mini_snack_packs, unit0-weight: 15, unit0-omit-food-description: false
Method: guide-image, conversion: 1.0, guide-image-id: AUScrackers",BSCT,CRKS,CRPS,PMPC,,,,
JTRT,1,"Jam tart, indivual",Jam tarts,,,,AUSNUT,02E50243,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake",CAKE,TART,,,,,,
JUNI,1,Juniper berries,Juniper berries,,,,AUSNUT,13A11896,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: teaspoons, unit0-weight: 0.7, unit0-omit-food-description: false",HRBS,HRSP,SLW2,SW06,,,,
KALB,1,"Kale, boiled","Kale, boiled",,,,AUSNUT,13A12624,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.24, serving-image-set: cabbage, leftovers-image-set: cabbage_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 9.2, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 115, unit1-omit-food-description: false",CBBG,SLW1,SW05,VTGB,,,,
KALE,2,"Kale, raw","Kale, raw","Kale, mentah",生羽衣甘蓝,"பரட்டைக்கீரை, பச்சையாக",AUSNUT,13A12623,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 0.56, serving-image-set: cabbage, leftovers-image-set: cabbage_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 9.2, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 115, unit1-omit-food-description: false",CBBG,SLW1,SW05,VTGB,,,,
KANG,1,"Kangaroo fillet, cooked","Kangaroo fillet, cooked",,,,AUSNUT,08B10086,TRUE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: fillets, unit0-weight: 164, unit0-omit-food-description: false",GAME,MEAT,SLW1,STEK,,,,
KBAB,4,"Doner kebab, meat only","Doner kebab, meat only","Doner kebab, daging sahaja","旋转烤肉，仅限肉, kebab","டோனர் கபாப், இறைச்சி மட்டுமே",AUSNUT,08A20907,Inherited,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Doner kebab, meat only?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Doner kebab, daging sahaja?})",COND({ta: டோனர் கபாப் உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?}),"Method: as-served, conversion: 1.0, serving-image-set: meat_roast, leftovers-image-set: meat_roast_leftovers",LDSH,MDSH,MEAT,,,,,
KBIS,2,Breakfast biscuits e.g. Belvita,Breakfast biscuits e.g. Belvita,Biskut sarapan e.g. Belvita,早餐饼干（例如Belvita,காலை உணவு பிஸ்கட் எ.கா. Belvita,AUSNUT,12C10516,Inherited,Inherited,Inherited,Inherited,MDNK({en: Did you have milk with your breakfast biscuits e.g. Belvita?}),,MDNK({ms: Adakah anda mengambil susu bersama Biskut sarapan e.g. Belvita?}),MDNK({ta: காலை உணவு பிஸ்கட் எ.கா. Belvita உடன் சேர்த்து பால் குடித்தீர்களா?}),"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: biscuits, unit0-weight: 12.5, unit0-omit-food-description: true, unit1-name: individual_packs, unit1-weight: 50, unit1-omit-food-description: false
Method: guide-image, conversion: 1.0, guide-image-id: Gcbar_unwrapped",BSCT,CRBR,CRLS,OTBS,,,,
KBNO,2,"Chocolate bar, with wafer and hazelnut filling e.g. Kinder Bueno",Kinder Bueno,Kinder Bueno,巧克力棒，夹心威化和榛子馅（例如Kinder Bueno）,கிண்டர் பியூனோ,AUSNUT,12C10555,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSPicnic&BuenoNEW",BARS,CBAR,,,,,,
KDBN,2,"Kidney beans, cooked","Kidney beans, cooked","Kacang ginjal, dimasak",熟红豆,"சிவப்பு காராமணி, சமைத்த",AUSNUT,13A20125,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: kidney_beans
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 14.8, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 185, unit1-omit-food-description: false",BBNS,SLW1,SW05,VTGB,,,,
KEDG,1,"Tuna mornay, ready meal e.g. McCains","Tuna mornay, ready meal e.g. McCains",,,,AUSNUT,02F40277,FALSE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: packs, unit0-weight: 400, unit0-omit-food-description: false",FDSH,FISH,,,,,,
